source,id,description,severity,action
suricata,173.245.58.93,Заблокирован: 300 алертов,high,blocked
suricata,10.47.8.150,Заблокирован: 296 алертов,high,blocked
suricata,10.47.22.25,Заблокирован: 295 алертов,high,blocked
suricata,13.107.4.50,Заблокирован: 283 алертов,high,blocked
suricata,172.16.11.14,Заблокирован: 281 алертов,high,blocked
suricata,172.16.16.21,Заблокирован: 281 алертов,high,blocked
suricata,172.16.13.14,Заблокирован: 279 алертов,high,blocked
suricata,66.135.38.206,Заблокирован: 267 алертов,high,blocked
suricata,10.0.0.5,Заблокирован: 260 алертов,high,blocked
suricata,173.245.59.94,Заблокирован: 256 алертов,high,blocked
suricata,172.16.12.21,Заблокирован: 253 алертов,high,blocked
suricata,10.47.2.155,Заблокирован: 248 алертов,high,blocked
suricata,10.192.0.158,Заблокирован: 246 алертов,high,blocked
suricata,172.16.13.21,Заблокирован: 242 алертов,high,blocked
suricata,10.47.2.100,Заблокирован: 242 алертов,high,blocked
suricata,10.216.222.2,Заблокирован: 242 алертов,high,blocked
suricata,10.10.7.172,Заблокирован: 239 алертов,high,blocked
suricata,10.47.6.20,Заблокирован: 230 алертов,high,blocked
suricata,172.16.11.21,Заблокирован: 228 алертов,high,blocked
suricata,172.16.14.14,Заблокирован: 226 алертов,high,blocked
suricata,10.170.122.128,Заблокирован: 226 алертов,high,blocked
suricata,10.47.21.55,Заблокирован: 221 алертов,high,blocked
suricata,10.192.0.127,Заблокирован: 216 алертов,high,blocked
suricata,10.10.6.208,Заблокирован: 216 алертов,high,blocked
suricata,10.47.46.10,Заблокирован: 215 алертов,high,blocked
suricata,10.47.3.152,Заблокирован: 209 алертов,high,blocked
suricata,192.168.0.51,Заблокирован: 204 алертов,high,blocked
suricata,172.16.12.14,Заблокирован: 199 алертов,high,blocked
suricata,10.47.8.1,Заблокирован: 196 алертов,high,blocked
suricata,10.10.3.69,Заблокирован: 194 алертов,high,blocked
suricata,10.128.0.30,Заблокирован: 194 алертов,high,blocked
suricata,0.0.0.0,Заблокирован: 191 алертов,high,blocked
suricata,10.10.4.28,Заблокирован: 190 алертов,high,blocked
suricata,172.16.17.21,Заблокирован: 189 алертов,high,blocked
suricata,10.10.4.40,Заблокирован: 186 алертов,high,blocked
suricata,172.16.14.21,Заблокирован: 185 алертов,high,blocked
suricata,10.47.26.80,Заблокирован: 185 алертов,high,blocked
suricata,172.16.28.74,Заблокирован: 181 алертов,high,blocked
suricata,fe80:0000:0000:0000:119b:014a:4dd2:690b,Заблокирован: 181 алертов,high,blocked
suricata,10.10.7.135,Заблокирован: 177 алертов,high,blocked
suricata,10.192.76.76,Заблокирован: 177 алертов,high,blocked
suricata,172.16.15.21,Заблокирован: 175 алертов,high,blocked
suricata,10.47.4.155,Заблокирован: 169 алертов,high,blocked
suricata,fe80:0000:0000:0000:ed50:2140:65a5:21ba,Заблокирован: 168 алертов,high,blocked
suricata,10.93.1.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.8.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.3.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.2.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.6.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.4.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.5.1,Заблокирован: 168 алертов,high,blocked
suricata,10.93.7.1,Заблокирован: 168 алертов,high,blocked
suricata,10.47.48.10,Заблокирован: 166 алертов,high,blocked
suricata,10.47.2.154,Заблокирован: 165 алертов,high,blocked
suricata,10.192.0.209,Заблокирован: 161 алертов,high,blocked
suricata,10.128.0.101,Заблокирован: 161 алертов,high,blocked
suricata,192.168.0.2,Заблокирован: 160 алертов,high,blocked
suricata,60.250.33.201,Заблокирован: 160 алертов,high,blocked
suricata,10.10.1.77,Заблокирован: 157 алертов,high,blocked
suricata,10.47.22.55,Заблокирован: 157 алертов,high,blocked
suricata,172.16.18.14,Заблокирован: 156 алертов,high,blocked
suricata,fe80:0000:0000:0000:f826:d860:772e:4b07,Заблокирован: 156 алертов,high,blocked
suricata,10.47.8.208,Заблокирован: 153 алертов,high,blocked
suricata,10.47.45.32,Заблокирован: 152 алертов,high,blocked
suricata,134.71.3.17,Заблокирован: 150 алертов,high,blocked
suricata,172.16.17.14,Заблокирован: 148 алертов,high,blocked
suricata,172.16.18.21,Заблокирован: 148 алертов,high,blocked
suricata,10.47.3.208,Заблокирован: 148 алертов,high,blocked
suricata,10.47.41.34,Заблокирован: 146 алертов,high,blocked
suricata,10.130.0.10,Заблокирован: 144 алертов,high,blocked
suricata,10.10.5.158,Заблокирован: 143 алертов,high,blocked
suricata,10.47.46.34,Заблокирован: 143 алертов,high,blocked
suricata,10.10.1.2,Заблокирован: 142 алертов,high,blocked
suricata,10.10.4.2,Заблокирован: 142 алертов,high,blocked
suricata,10.47.8.251,Заблокирован: 138 алертов,high,blocked
suricata,10.47.2.58,Заблокирован: 137 алертов,high,blocked
suricata,192.168.0.53,Заблокирован: 136 алертов,high,blocked
suricata,10.47.45.30,Заблокирован: 133 алертов,high,blocked
suricata,10.47.22.82,Заблокирован: 129 алертов,high,blocked
suricata,fe80:0000:0000:0000:5c8d:3bda:dc77:5843,Заблокирован: 128 алертов,high,blocked
suricata,10.47.24.55,Заблокирован: 128 алертов,high,blocked
suricata,10.10.7.95,Заблокирован: 127 алертов,high,blocked
suricata,10.47.8.19,Заблокирован: 127 алертов,high,blocked
suricata,fe80:0000:0000:0000:c93f:45f2:7ccb:2fc7,Заблокирован: 126 алертов,high,blocked
suricata,10.47.4.1,Заблокирован: 126 алертов,high,blocked
suricata,172.16.32.94,Заблокирован: 125 алертов,high,blocked
suricata,10.47.1.100,Заблокирован: 125 алертов,high,blocked
suricata,10.47.6.1,Заблокирован: 124 алертов,high,blocked
suricata,10.47.4.156,Заблокирован: 124 алертов,high,blocked
suricata,10.159.242.21,Заблокирован: 122 алертов,high,blocked
suricata,10.47.1.1,Заблокирован: 121 алертов,high,blocked
suricata,10.10.3.8,Заблокирован: 119 алертов,high,blocked
suricata,172.16.22.65,Заблокирован: 119 алертов,high,blocked
suricata,10.47.3.218,Заблокирован: 118 алертов,high,blocked
suricata,10.10.2.206,Заблокирован: 117 алертов,high,blocked
suricata,10.255.0.22,Заблокирован: 116 алертов,high,blocked
suricata,10.10.5.121,Заблокирован: 116 алертов,high,blocked
suricata,10.47.26.55,Заблокирован: 116 алертов,high,blocked
suricata,10.10.1.166,Заблокирован: 115 алертов,high,blocked
suricata,10.10.7.126,Заблокирован: 115 алертов,high,blocked
suricata,10.128.0.210,Заблокирован: 113 алертов,high,blocked
suricata,10.10.3.67,Заблокирован: 110 алертов,high,blocked
suricata,10.10.6.209,Заблокирован: 110 алертов,high,blocked
suricata,10.128.0.213,Заблокирован: 110 алертов,high,blocked
suricata,10.128.0.217,Заблокирован: 108 алертов,high,blocked
suricata,216.58.219.46,Заблокирован: 107 алертов,high,blocked
suricata,138.201.116.127,Заблокирован: 107 алертов,high,blocked
suricata,10.47.7.58,Заблокирован: 107 алертов,high,blocked
suricata,10.10.3.2,Заблокирован: 106 алертов,high,blocked
suricata,10.47.6.157,Заблокирован: 106 алертов,high,blocked
suricata,10.128.0.249,Заблокирован: 105 алертов,high,blocked
suricata,10.47.24.82,Заблокирован: 104 алертов,high,blocked
suricata,10.47.23.55,Заблокирован: 103 алертов,high,blocked
suricata,10.128.0.245,Заблокирован: 102 алертов,high,blocked
suricata,10.10.1.115,Заблокирован: 100 алертов,high,blocked
suricata,10.10.3.38,Заблокирован: 96 алертов,high,blocked
suricata,10.47.24.65,Заблокирован: 96 алертов,high,blocked
suricata,10.47.6.58,Заблокирован: 95 алертов,high,blocked
suricata,72.21.91.70,Заблокирован: 94 алертов,high,blocked
suricata,10.47.1.58,Заблокирован: 94 алертов,high,blocked
suricata,10.192.88.98,Заблокирован: 93 алертов,high,blocked
suricata,10.10.1.70,Заблокирован: 93 алертов,high,blocked
suricata,172.16.31.94,Заблокирован: 93 алертов,high,blocked
suricata,10.47.21.25,Заблокирован: 93 алертов,high,blocked
suricata,10.47.5.58,Заблокирован: 91 алертов,high,blocked
suricata,10.47.27.80,Заблокирован: 91 алертов,high,blocked
suricata,10.47.47.10,Заблокирован: 90 алертов,high,blocked
suricata,10.47.41.26,Заблокирован: 90 алертов,high,blocked
suricata,10.47.41.40,Заблокирован: 89 алертов,high,blocked
suricata,10.10.4.152,Заблокирован: 87 алертов,high,blocked
suricata,10.10.7.65,Заблокирован: 86 алертов,high,blocked
suricata,10.10.4.111,Заблокирован: 86 алертов,high,blocked
suricata,10.10.5.25,Заблокирован: 86 алертов,high,blocked
suricata,10.47.5.1,Заблокирован: 85 алертов,high,blocked
suricata,10.47.7.1,Заблокирован: 85 алертов,high,blocked
suricata,10.47.2.1,Заблокирован: 85 алертов,high,blocked
suricata,10.47.24.81,Заблокирован: 85 алертов,high,blocked
suricata,10.47.41.30,Заблокирован: 85 алертов,high,blocked
suricata,10.10.4.10,Заблокирован: 84 алертов,high,blocked
suricata,216.58.216.46,Заблокирован: 83 алертов,high,blocked
suricata,10.47.25.55,Заблокирован: 83 алертов,high,blocked
suricata,10.230.187.77,Заблокирован: 81 алертов,high,blocked
suricata,10.47.47.34,Заблокирован: 81 алертов,high,blocked
suricata,216.58.216.35,Заблокирован: 80 алертов,high,blocked
suricata,10.47.28.55,Заблокирован: 80 алертов,high,blocked
suricata,10.47.26.186,Заблокирован: 80 алертов,high,blocked
suricata,10.47.8.218,Заблокирован: 79 алертов,high,blocked
suricata,10.10.16.2,Заблокирован: 79 алертов,high,blocked
suricata,10.255.0.26,Заблокирован: 78 алертов,high,blocked
suricata,172.16.12.55,Заблокирован: 78 алертов,high,blocked
suricata,10.47.4.58,Заблокирован: 78 алертов,high,blocked
suricata,10.10.8.150,Заблокирован: 77 алертов,high,blocked
suricata,10.47.8.58,Заблокирован: 77 алертов,high,blocked
suricata,10.47.7.100,Заблокирован: 77 алертов,high,blocked
suricata,10.0.0.29,Заблокирован: 75 алертов,high,blocked
suricata,10.47.44.34,Заблокирован: 75 алертов,high,blocked
suricata,172.16.38.94,Заблокирован: 73 алертов,high,blocked
suricata,10.192.0.226,Заблокирован: 73 алертов,high,blocked
suricata,10.227.250.215,Заблокирован: 73 алертов,high,blocked
suricata,10.128.0.212,Заблокирован: 73 алертов,high,blocked
suricata,10.47.3.10,Заблокирован: 72 алертов,high,blocked
suricata,10.47.6.142,Заблокирован: 72 алертов,high,blocked
suricata,10.128.0.227,Заблокирован: 72 алертов,high,blocked
suricata,10.47.5.100,Заблокирован: 72 алертов,high,blocked
suricata,10.197.105.15,Заблокирован: 72 алертов,high,blocked
suricata,10.47.43.32,Заблокирован: 72 алертов,high,blocked
suricata,10.47.5.142,Заблокирован: 71 алертов,high,blocked
suricata,10.47.27.25,Заблокирован: 70 алертов,high,blocked
suricata,10.192.0.180,Заблокирован: 69 алертов,high,blocked
suricata,172.16.22.66,Заблокирован: 68 алертов,high,blocked
suricata,10.10.2.240,Заблокирован: 67 алертов,high,blocked
suricata,10.147.6.92,Заблокирован: 67 алертов,high,blocked
suricata,10.47.21.80,Заблокирован: 67 алертов,high,blocked
suricata,10.47.25.82,Заблокирован: 67 алертов,high,blocked
suricata,10.47.45.10,Заблокирован: 66 алертов,high,blocked
suricata,10.47.41.27,Заблокирован: 66 алертов,high,blocked
suricata,10.10.17.2,Заблокирован: 66 алертов,high,blocked
suricata,10.10.7.2,Заблокирован: 65 алертов,high,blocked
suricata,10.10.4.21,Заблокирован: 64 алертов,high,blocked
suricata,10.10.8.89,Заблокирован: 64 алертов,high,blocked
suricata,23.44.160.203,Заблокирован: 64 алертов,high,blocked
suricata,108.160.165.84,Заблокирован: 64 алертов,high,blocked
suricata,10.10.4.50,Заблокирован: 63 алертов,high,blocked
suricata,10.192.0.2,Заблокирован: 63 алертов,high,blocked
suricata,172.16.22.51,Заблокирован: 63 алертов,high,blocked
suricata,10.47.1.20,Заблокирован: 63 алертов,high,blocked
suricata,10.128.0.33,Заблокирован: 63 алертов,high,blocked
suricata,10.47.48.40,Заблокирован: 63 алертов,high,blocked
suricata,10.47.24.186,Заблокирован: 63 алертов,high,blocked
suricata,10.128.0.206,Заблокирован: 62 алертов,high,blocked
suricata,10.237.30.78,Заблокирован: 62 алертов,high,blocked
suricata,10.222.140.10,Заблокирован: 62 алертов,high,blocked
suricata,10.10.6.122,Заблокирован: 61 алертов,high,blocked
suricata,10.128.0.254,Заблокирован: 61 алертов,high,blocked
suricata,10.47.42.30,Заблокирован: 61 алертов,high,blocked
suricata,10.252.194.251,Заблокирован: 60 алертов,high,blocked
suricata,10.10.2.1,Заблокирован: 60 алертов,high,blocked
suricata,10.225.66.77,Заблокирован: 59 алертов,high,blocked
suricata,10.10.7.90,Заблокирован: 58 алертов,high,blocked
suricata,10.10.5.165,Заблокирован: 58 алертов,high,blocked
suricata,108.160.165.8,Заблокирован: 58 алертов,high,blocked
suricata,108.160.166.138,Заблокирован: 58 алертов,high,blocked
suricata,108.160.165.212,Заблокирован: 58 алертов,high,blocked
suricata,10.47.46.30,Заблокирован: 58 алертов,high,blocked
suricata,162.208.20.178,Заблокирован: 57 алертов,high,blocked
suricata,10.47.8.250,Заблокирован: 57 алертов,high,blocked
suricata,10.220.115.1,Заблокирован: 57 алертов,high,blocked
suricata,10.47.42.27,Заблокирован: 57 алертов,high,blocked
suricata,10.47.48.27,Заблокирован: 57 алертов,high,blocked
suricata,10.10.4.8,Заблокирован: 56 алертов,high,blocked
suricata,10.10.8.43,Заблокирован: 56 алертов,high,blocked
suricata,108.160.162.115,Заблокирован: 56 алертов,high,blocked
suricata,10.47.6.152,Заблокирован: 56 алертов,high,blocked
suricata,10.192.22.23,Заблокирован: 55 алертов,high,blocked
suricata,10.150.0.23,Заблокирован: 55 алертов,high,blocked
suricata,10.190.153.120,Заблокирован: 55 алертов,high,blocked
suricata,10.229.25.73,Заблокирован: 55 алертов,high,blocked
suricata,10.255.0.24,Заблокирован: 54 алертов,high,blocked
suricata,172.16.28.51,Заблокирован: 54 алертов,high,blocked
suricata,108.160.165.138,Заблокирован: 54 алертов,high,blocked
suricata,10.47.3.150,Заблокирован: 54 алертов,high,blocked
suricata,216.58.219.35,Заблокирован: 53 алертов,high,blocked
suricata,151.101.24.204,Заблокирован: 53 алертов,high,blocked
suricata,10.255.0.27,Заблокирован: 53 алертов,high,blocked
suricata,10.47.28.25,Заблокирован: 53 алертов,high,blocked
suricata,10.47.23.25,Заблокирован: 53 алертов,high,blocked
suricata,10.128.0.202,Заблокирован: 53 алертов,high,blocked
suricata,10.47.46.40,Заблокирован: 53 алертов,high,blocked
suricata,23.194.101.156,Заблокирован: 52 алертов,high,blocked
suricata,10.47.1.200,Заблокирован: 52 алертов,high,blocked
suricata,10.47.42.40,Заблокирован: 52 алертов,high,blocked
suricata,10.47.43.30,Заблокирован: 52 алертов,high,blocked
suricata,185.106.154.119,Заблокирован: 52 алертов,high,blocked
suricata,8.42.77.171,Заблокирован: 52 алертов,high,blocked
suricata,172.16.37.14,Заблокирован: 51 алертов,high,blocked
suricata,10.47.26.25,Заблокирован: 51 алертов,high,blocked
suricata,10.10.3.1,Заблокирован: 51 алертов,high,blocked
suricata,10.128.0.237,Заблокирован: 51 алертов,high,blocked
suricata,72.21.91.29,Заблокирован: 50 алертов,high,blocked
suricata,108.160.166.9,Заблокирован: 50 алертов,high,blocked
suricata,10.47.48.20,Заблокирован: 50 алертов,high,blocked
suricata,10.47.42.20,Заблокирован: 49 алертов,high,blocked
suricata,10.192.0.217,Заблокирован: 48 алертов,high,blocked
suricata,10.234.187.215,Заблокирован: 48 алертов,high,blocked
suricata,10.47.7.156,Заблокирован: 48 алертов,high,blocked
